DateTime,Open,High,Low,Close,Ticker,macd,signal,macd_signal,ATM,Type,Strike
2021-11-01 12:15:00,39375.9,39442.2,39299.5,39439.3,BANKNIFTY,-381.21766250272776,-387.7580668606688,1,39400,CE,BANKNIFTYWK39900CE
2021-11-09 09:15:00,39517.8,39560.6,39314.4,39409.1,BANKNIFTY,-129.06075524230255,-131.89224051950168,1,39400,CE,BANKNIFTYWK39900CE
2021-11-12 12:15:00,38574.8,38664.2,38562.2,38649.7,BANKNIFTY,-217.98171293462656,-224.63222032917568,1,38600,CE,BANKNIFTYWK39100CE
2021-11-23 13:15:00,37048.4,37326.6,37008.6,37305.5,BANKNIFTY,-315.0307038752144,-326.3156620069394,1,37300,CE,BANKNIFTYWK37800CE
2021-11-30 09:15:00,35958.8,36621.2,35958.8,36592.3,BANKNIFTY,-309.52246116648894,-348.06488307629144,1,36600,CE,BANKNIFTYWK37100CE
2021-12-01 09:15:00,35902.9,36205.4,35805.0,35876.8,BANKNIFTY,-295.5903295799217,-300.6833793406958,1,35900,CE,BANKNIFTYWK36400CE
2021-12-07 10:15:00,36345.6,36556.3,36326.7,36552.4,BANKNIFTY,-57.48111339448951,-68.37646690263749,1,36600,CE,BANKNIFTYWK37100CE
2021-12-13 09:15:00,37358.2,37581.1,37286.3,37505.3,BANKNIFTY,128.48065080174274,126.04627291828933,1,37500,CE,BANKNIFTYWK38000CE
2021-12-21 11:15:00,34929.3,35050.0,34871.0,35019.0,BANKNIFTY,-509.52126688015414,-546.509846607932,1,35000,CE,BANKNIFTYWK35500CE
2021-12-24 13:15:00,34701.8,35051.0,34697.9,35020.7,BANKNIFTY,-87.01598130945786,-93.14921705154957,1,35000,CE,BANKNIFTYWK35500CE
2021-12-27 12:15:00,34817.8,35084.9,34804.6,34979.4,BANKNIFTY,-82.6404067468975,-92.80238012976639,1,35000,CE,BANKNIFTYWK35500CE
2021-12-31 09:15:00,35114.4,35596.9,35113.8,35482.8,BANKNIFTY,27.024551255592087,8.306683949206857,1,35500,CE,BANKNIFTYWK36000CE
